sexo,edad,lengua_materna,identificacion_etnic,nacionalidad_indigena,provincia_labora,canton_labora,jurisdiccion_labora,Fecha registro,RMU,Modalidad laboral,Estado,Carrera,Título,Nivel
MUJER,45,KICHWA,INDIGENA,KICHWA,PASTAZA,ARAJUNO,BILINGUE,12/22/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,39,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,HISPANO,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,34,ESPAÑOL,INDIGENA,KICHWA,SUCUMBÍOS,PUTUMAYO,BILINGUE,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,41,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,50,ESPAÑOL,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,38,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,HISPANO,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,42,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,SUCÚA,BILINGUE,12/22/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,52,ESPAÑOL,INDIGENA,AWÁ,SUCUMBÍOS,LAGO AGRIO,HISPANO,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,38,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,BILINGUE,12/22/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,38,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TAISHA,BILINGUE,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,35,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,HISPANO,12/22/2022,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,40,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,12/22/2022,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,40,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,HISPANO,12/22/2022,986,NOMBRAMIENTO,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,46,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,SANTIAGO,BILINGUE,12/22/2022,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,37,"KICHWA, SHUAR CHICHAM",INDIGENA,SHUAR,PASTAZA,ARAJUNO,BILINGUE,12/22/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,41,SHUAR CHICHAM,MESTIZO,SHUAR,MORONA SANTIAGO,HUAMBOYA,BILINGUE,07/13/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,33,KICHWA,MESTIZO,KICHWA,SUCUMBÍOS,CUYABENO,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
HOMBRE,32,KICHWA,INDIGENA,KICHWA,ORELLANA,AGUARICO,HISPANO,0,-,-,-,EB,0,Sin título
HOMBRE,39,KICHWA,INDIGENA,KICHWA,PASTAZA,ARAJUNO,BILINGUE,08/04/2014,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE- NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,41,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,HISPANO,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,36,ACHUAR,INDIGENA,ACHUAR,PASTAZA,PASTAZA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
HOMBRE,34,ACHUAR,INDIGENA,ACHUAR,PASTAZA,PASTAZA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
HOMBRE,31,KICHWA,INDIGENA,KICHWA,PASTAZA,PASTAZA,BILINGUE,04/07/2022,-,-,-,EIB,PROFESOR DE EDUCACION PRIMARIA-NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,37,ESPAÑOL,INDIGENA,KICHWA,SUCUMBÍOS,PUTUMAYO,HISPANO,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,46,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,HUAMBOYA,BILINGUE,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,36,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,46,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,SUCÚA,BILINGUE,11/19/2021,-,-,-,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,43,ESPAÑOL,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
MUJER,38,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,49,SHUAR CHICHAM,INDIGENA,SHUAR,ZAMORA CHINCHIPE,EL PANGUI,BILINGUE,06/10/2015,-,-,-,EIB,TECNOLOGO EN CONTABILIDAD Y AUDITORIA,Tercer Nivel Técnico o Tecnólogo
MUJER,36,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,32,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,34,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,05/24/2023,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,MAGISTER EN EDUCACION MENCIÓN EN GESTION Y LIDERAZGO,Cuarto Nivel
HOMBRE,40,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,GUALAQUIZA,BILINGUE,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,35,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,32,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,60,KICHWA,MESTIZO,KICHWA,CHIMBORAZO,GUAMOTE,BILINGUE,04/18/2022,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,44,SHUAR CHICHAM,MESTIZO,SHUAR,MORONA SANTIAGO,TAISHA,BILINGUE,11/19/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,36,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,BILINGUE,11/19/2021,-,-,-,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,40,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,HISPANO,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,41,KICHWA,INDIGENA,KICHWA,NAPO,ARCHIDONA,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,39,KICHWA,INDIGENA,KICHWA,PASTAZA,PASTAZA,BILINGUE,08/09/2006,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION PRIMARIA NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,37,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,39,KICHWA,INDIGENA,KICHWA,PASTAZA,PASTAZA,BILINGUE,09/06/2016,-,-,-,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE - NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,45,KICHWA,INDIGENA,KICHWA,NAPO,ARCHIDONA,BILINGUE,04/27/2011,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,46,KICHWA,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
HOMBRE,35,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,PUTUMAYO,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
MUJER,35,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,GUALAQUIZA,BILINGUE,07/28/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,39,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,02/16/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,39,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,02/16/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,44,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,HUAMBOYA,BILINGUE,05/19/2006,-,-,-,EIB,PROFESOR DE EDUCACION PRIMARIA - NIVEL TECNICO SUPERIOR,Tercer Nivel Técnico o Tecnólogo
MUJER,46,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,43,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,HUAMBOYA,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,40,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,CASCALES,BILINGUE,02/16/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,40,"KICHWA, SHUAR CHICHAM",INDIGENA,SHUAR,MORONA SANTIAGO,SUCÚA,BILINGUE,01/23/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,47,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,PALORA,BILINGUE,01/23/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,39,A'INGAE,INDIGENA,A'I COFAN,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,37,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,56,"ESPAÑOL, SHUAR CHICHAM",INDIGENA,SHUAR,ORELLANA,ORELLANA,BILINGUE,08/26/2022,817,CONTRATOS OCASIONALES,ACTIVO,EIB,MAGISTER EN TECNOLOGIA E INNOVACION EDUCATIVA,Cuarto Nivel
MUJER,41,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,47,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,50,"ESPAÑOL, SHUAR CHICHAM",INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,38,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,53,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,01/23/2021,-,-,-,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,44,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,43,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,46,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,HISPANO,01/22/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,47,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,HISPANO,02/15/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,39,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,HISPANO,12/19/2023,817,CONTRATOS OCASIONALES,ACTIVO,EB,MAGISTER EN TECNOLOGIA E INNOVACION EDUCATIVA,Cuarto Nivel
MUJER,43,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,43,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,57,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,40,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,45,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,01/23/2021,-,-,-,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,44,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,46,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,42,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,CASCALES,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,53,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,41,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,02/16/2024,986,NOMBRAMIENTO,ACTIVO,EIB,MAGISTER EN EDUCACION INCLUSIVA,Cuarto Nivel
MUJER,51,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,37,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,01/22/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,54,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,GONZALO PIZARRO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,41,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,HISPANO,01/23/2021,-,-,-,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,47,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,43,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,47,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,CASCALES,BILINGUE,01/23/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,39,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,44,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,53,KICHWA,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,02/25/2011,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,40,KICHWA,INDIGENA,KICHWA,ORELLANA,AGUARICO,HISPANO,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EB,0,Sin título
MUJER,42,ESPAÑOL,INDIGENA,KICHWA,PASTAZA,PASTAZA,HISPANO,02/05/2009,817,CONTRATOS OCASIONALES,ACTIVO,EB,PROFESOR DE EDUCACION PRIMARIA NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,39,SHUAR CHICHAM,INDIGENA,SHUAR,PASTAZA,PASTAZA,HISPANO,0,-,-,-,EB,0,Sin título
MUJER,43,KICHWA,INDIGENA,KICHWA,NAPO,TENA,HISPANO,11/14/2011,817,CONTRATOS OCASIONALES,ACTIVO,EB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,49,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,PUTUMAYO,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
MUJER,56,KICHWA,INDIGENA,KICHWA,NAPO,TENA,BILINGUE,02/25/2011,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,50,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,CHIMBORAZO,GUAMOTE,BILINGUE,02/12/2009,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION PRIMARIA - NIVEL TECNICO SUPERIOR,Tercer Nivel Técnico o Tecnólogo
MUJER,61,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,HISPANO,0,817,NOMBRAMIENTO,ACTIVO,EB,0,Sin título
HOMBRE,42,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,06/04/2007,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR DE EDUCACION PRIMARIA - NIVEL TECNICO SUPERIOR,Tercer Nivel Técnico o Tecnólogo
HOMBRE,41,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,BILINGUE,05/19/2006,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR DE EDUCACION PRIMARIA - NIVEL TECNICO SUPERIOR,Tercer Nivel Técnico o Tecnólogo
HOMBRE,48,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,NAPO,TENA,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EIB,0,Sin título
MUJER,42,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,42,SHUAR CHICHAM,INDIGENA,SHUAR,PASTAZA,ARAJUNO,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
HOMBRE,46,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EB,0,Sin título
