sexo,edad,lengua_materna,identificacion_etnic,nacionalidad_indigena,provincia_labora,canton_labora,jurisdiccion_labora,Fecha registro,RMU,Modalidad laboral,Estado,Carrera,Título,Nivel
MUJER,33,KICHWA,INDIGENA,KICHWA,ORELLANA,AGUARICO,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,44,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,37,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,GUAMOTE,BILINGUE,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,43,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,SANTIAGO,BILINGUE,11/19/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,37,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TIWINTZA,BILINGUE,11/19/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,45,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TIWINTZA,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,45,"ESPAÑOL, SHUAR CHICHAM",INDIGENA,SHUAR,MORONA SANTIAGO,SUCÚA,BILINGUE,11/19/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,36,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,HISPANO,11/19/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,55,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,36,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,HISPANO,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,41,KICHWA,MESTIZO,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,38,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,07/11/2023,986,NOMBRAMIENTO,ACTIVO,EIB,MAGISTER EN EDUCACION BASICA,Cuarto Nivel
HOMBRE,40,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,CAÑAR,CAÑAR,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,42,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TAISHA,BILINGUE,06/14/2018,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION INFANTIL COMUNITARIA- TECNOLOGO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,43,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TIWINTZA,BILINGUE,01/23/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,41,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,48,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,TAISHA,HISPANO,01/22/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,41,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,LOGROÑO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,42,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,LOGROÑO,BILINGUE,03/13/2024,986,NOMBRAMIENTO,ACTIVO,EIB,MASTER EN DOCENCIA UNIVERSITARIA,Cuarto Nivel
MUJER,48,ESPAÑOL,INDIGENA,KICHWA,CAÑAR,CAÑAR,BILINGUE,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,46,SHUAR CHICHAM,INDIGENA,SHUAR,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,53,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,55,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,40,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,GUAMOTE,BILINGUE,03/26/2023,986,NOMBRAMIENTO,ACTIVO,EIB,MAGISTER EN EDUCACION BASICA,Cuarto Nivel
HOMBRE,41,KICHWA,INDIGENA,KICHWA,ORELLANA,ORELLANA,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,44,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,38,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,45,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,AZUAY,SANTA ISABEL,HISPANO,02/15/2021,986,NOMBRAMIENTO,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
